,Field,Value
0,RN:,5511300F
1,CU:,0 B11:48.853 3:20.608
2,NC:,11A
3,SR:,14900
4,CS:,23.769
5,PL:,Crown 2Ch/K-H H5.0
6,SC:,OTF
7,ID:,
8,AG:,
9,IA:,
10,GS:,Megaptera novaeangliae AC2A | Electrical noise X
11,GA:,ASWAC2A ASWX
12,OD:,25-Apr-1951 AC2A X | AprAC2A 1951AC2A | AprX 1951X
13,NT:,AC2A X N32' 22 W064' 38 Calls; electrical noise. Reverberation present. Copy of original SOFAR recordings.
14,DA:,7-Dec-1994
15,IP:,
16,AP:,
17,BH:,
18,OS:,
19,NA:,2+
20,GB:,"St. David's Island, Bermuda AC2A X"
21,GC:,N32AC2A W064AC2A
22,OT:,
23,SH:,Platform
24,AU:,Frank Watlington
25,LO:,"CD #5, 6 | SHIV"
26,HY:,
27,RC:,
28,RG:,
29,SL:,
30,ST:,FMAC2A | NLAC2A | NSAC2A | BSX | Calls AC2A | Electrical noise X
