,Field,Value
0,RN:,6301900W
1,CU:,0 B35:00.00 0:27.646
2,NC:,11A
3,SR:,14900
4,CS:,10.935
5,PL:,Pemtek 4Ch/K-H H5.0
6,SC:,OTF
7,ID:,
8,AG:,
9,IA:,
10,GS:,Megaptera novaeangliae AC2A
11,GA:,ASWAC2A
12,OD:,26-Mar-1963 AC2A | MarAC2A 1963AC2A
13,NT:,AC2A Song calls. Reverberation present. Great tape.
14,DA:,21-Nov-1994
15,IP:,
16,AP:,
17,BH:,
18,OS:,
19,NA:,1
20,GB:,"Argus Island, Bermuda AC2A"
21,GC:,N32AC2A W064AC2A
22,OT:,
23,SH:,Offshore Platform
24,AU:,Vernon Coleman
25,LO:,"CD #5, 6 | SHIV"
26,HY:,
27,RC:,Platform
28,RG:,Ampex PC-TO
29,SL:,
30,ST:,BLAC2A | FMAC2A | NLAC2A | NSAC2A | Song calls AC2A
