,Field,Value
0,RN:,6304300N
1,CU:,0 B30:00.00 26:00.021
2,NC:,11A
3,SR:,14900
4,CS:,17.200
5,PL:,Pemtek 4Ch/K-H H5.0
6,SC:,OTF
7,ID:,
8,AG:,
9,IA:,
10,GS:,Megaptera novaeangliae AC2A
11,GA:,ASWAC2A
12,OD:,1963 AC2A | 1963AC2A
13,NT:,"AC2A N32'21 W064'41 Pulsed calls; calls. Reverberation present. Part of cut 6304300G. Recorded by the Sofar station in 1963; copied by Frank Watlington on March 19, 1968."
14,DA:,29-Nov-1994
15,IP:,
16,AP:,
17,BH:,
18,OS:,
19,NA:,1
20,GB:,"Castle Harbour, Bermuda AC2A"
21,GC:,N32AC2A W064AC2A
22,OT:,
23,SH:,Platform
24,AU:,Frank Watlington
25,LO:,"CD #5, 6 | SHIV (copy)"
26,HY:,
27,RC:,
28,RG:,
29,SL:,
30,ST:,BLAC2A | PUAC2A | FMAC2A | NSAC2A | Pulsed calls AC2A | Calls AC2A
