,Field,Value
0,RN:,8002001M
1,CU:,600 B190 16.36
2,NC:,11A
3,SR:,10240
4,CS:,2.224
5,PL:,Crown/ Kay
6,SC:,OTF
7,ID:,
8,AG:,
9,IA:,
10,GS:,Megaptera novaeangliae AC2A
11,GA:,ISEAC2A
12,OD:,20-Feb-1980 AC2A | FebAC2A 1980AC2A
13,NT:,AC2A Social sounds. Social interactions. Mostly males with one female. Two sweeps (one low level).
14,DA:,27-Oct-1992
15,IP:,
16,AP:,
17,BH:,
18,OS:,
19,NA:,2+ AC2A
20,GB:,"Off Maui, HI AC2A"
21,GC:,N21AC2A W157AC2A
22,OT:,
23,SH:,SM
24,AU:,Tyack
25,LO:,"CD #9, 10 | Shiv (copy)"
26,HY:,5
27,RC:,
28,RG:,"Nakamichi 550 casette recorder, Gould 174 hydrophone, Barkus Berry 1330 pre | amp"
29,SL:,
30,ST:,BLAC2A | FMAC2A | Sweep AC2A
