,Field,Value
0,RN:,9220100B
1,CU:,0 B26:08.300 0:55.902
2,NC:,11A
3,SR:,14900
4,CS:,15.841
5,PL:,Sharp Stereo Cassette Deck RT-1010
6,SC:,OTF
7,ID:,
8,AG:,
9,IA:,
10,GS:,Megaptera novaeangliae AC2A
11,GA:,ANWAC2A
12,OD:,14-Feb-1992 | FebAC2A 1992AC2A
13,NT:,AC2A Calls; pulsed calls.
14,DA:,29-Dec-1994
15,IP:,
16,AP:,
17,BH:,
18,OS:,
19,NA:,2 AC2A
20,GB:,"1-1.5 miles North of Tortola, British Virgin Islands AC2A"
21,GC:,N18AC2A W064AC2A
22,OT:,0645-0710 AC2A
23,SH:,SM
24,AU:,Paul A. Knapp Jr.
25,LO:,"CD#7, 8 | SHIV"
26,HY:,15
27,RC:,
28,RG:,TEAC DA-P20 Digital Recorder
29,SL:,
30,ST:,NLAC2A | PUAC2A | Calls AC2A | Pulsed calls AC2A
