,Field,Value
0,RN:,6002600B
1,CU:,75
2,NC:,11D
3,SR:,40960
4,CS:,1.890
5,PL:,Pemtek/Kay
6,SC:,OTF
7,ID:,
8,AG:,
9,IA:,
10,GS:,Orcinus orca BE7A
11,GA:,ANWBE7A
12,OD:,21-Dec-1960 BE7A | DecBE7A 1960BE7A
13,NT:,"BE7A Variety of clicks; one distant call. Night recording, no animals seen."
14,DA:,03-Aug-1994
15,IP:,
16,AP:,
17,BH:,
18,OS:,
19,NA:,2 BE7A
20,GB:,"80 mi. south of Martha's Vineyard, Massachusetts BE7A"
21,GC:,N71BE7A W040BE7A
22,OT:,
23,SH:,Patricia B.
24,AU:,WAW
25,LO:,"CD #9, 10 | SHIV"
26,HY:,6
27,RC:,Flat
28,RG:,AX-58 hydrophone | Magnecorder tape recorder | WHOI Suitcase amplifier
29,SL:,
30,ST:,BSBE7A | NLBE7A | Clicks BE7A | Call BE7A
