,Field,Value
0,RN:,89405023
1,CU:,0 B33:00
2,NC:,11A
3,SR:,21900
4,CS:,14.249
5,PL:,Superscope cassette recorder/ K-H L1.0 H10.0
6,SC:,
7,ID:,
8,AG:,
9,IA:,
10,GS:,Orcinus orca BE7A
11,GA:,ANEBE7A
12,OD:,9-Sep-1989 BE7A | SepBE7A 1989BE7A
13,NT:,"BE7A 33 minute cassette given by Hanne Strager for Acoustat run. The killer whales were quite spread out and were involved in social activity only. No feeding or unidirectional travel was observed. The recording is a mixture of pods P and K, photos also were taken."
14,DA:,15-Jul-1998
15,IP:,
16,AP:,
17,BH:,Social BE7A
18,OS:,Physeter catodon BA2A
19,NA:,4+ BE7A
20,GB:,"Andenes, Norway BE7A"
21,GC:,N69BE7A W016BE7A
22,OT:,1849 BE7A
23,SH:,SM
24,AU:,Hanne Strager
25,LO:,Shiv- copy
26,HY:,
27,RC:,
28,RG:,
29,SL:,
30,ST:,PUBE7A | Pulsed call BE7A
