,Field,Value
0,RN:,9750000S
1,CU:,2:04:00 B7:00 348.805
2,NC:,211
3,SR:,21900
4,CS:,3.413
5,PL:,JVC
6,SC:,N
7,ID:,Keiko BE7A
8,AG:,M17Keiko M1975Keiko BE7A
9,IA:,
10,GS:,Orcinus orca BE7A
11,GA:,INEBE7A
12,OD:,12-Feb-1997 BE7A | 1997BE7A FebBE7A
13,NT:,"BE7A OCA Tape #1. Hydrophones recorded on HiFi L & R. SMPTE code on Norm. Time Code reset often during Tape 1. Radio station occurs once in a while, also, on HiFi Chs. One call. This tonal call contains the second call from the two separate calls recorded as one cut 9750000Q because I think this call follows 9750000R. Fundemental Freqency, 1957 Hz."
14,DA:,25-Feb-1998
15,IP:,
16,AP:,
17,BH:,BE7A
18,OS:,
19,NA:,1 BE7A
20,GB:,"Oregon Coastal Aquarium, Newport, OR BE7A"
21,GC:,N4439BE7A W12404BE7A
22,OT:,BE7A
23,SH:,AQ
24,AU:,FWKF
25,LO:,Blake | CD#31
26,HY:,
27,RC:,
28,RG:,"Panasonic AG-6400 VHS, 2 WHOI Von Der Heydt hydrophones | 1 WHOI Video camera"
29,SL:,
30,ST:,NLBE7A | Tonal call BE7A
