,Field,Value
0,RN:,9750301O
1,CU:,0:06:26 B2:5 0:4.3375
2,NC:,211
3,SR:,21900
4,CS:,1.283
5,PL:,JVC
6,SC:,OTF
7,ID:,Keiko BE7A
8,AG:,M17Keiko M1975Keiko BE7A
9,IA:,
10,GS:,Orcinus orca BE7A | Ambient X
11,GA:,INEBE7A INEX
12,OD:,16-Feb-1997 BE7A | 1997BE7A FebBE7A
13,NT:,"BE7A OCA Tape #4. Hydrophones recorded on HiFi L & R. SMPTE code on Norm. Time Code available on tape #4. Radio station occurs occasionally, also, on HiFi Chs. Two-stepped call, second component of 9750301L. FF 1625 Hz."
14,DA:,21-Jul-1997
15,IP:,
16,AP:,
17,BH:,BE7A
18,OS:,
19,NA:,1 BE7A
20,GB:,"Oregon Coastal Aquarium, Newport, OR BE7A"
21,GC:,N4439BE7A W12404BE7A
22,OT:,BE7A
23,SH:,AQ
24,AU:,FWKF
25,LO:,Blake | CD#31
26,HY:,5
27,RC:,
28,RG:,"Panasonic AG-6400 VHS, 2 Hi-Tech HTI-90-SSQ hydrophones | 1 WHOI Video camera"
29,SL:,
30,ST:,NLBE7A | NLX | Call BE7A | Hydrophone click X
